id,date,type,city,state,ideology,group,description,image
9101,10/30/2019,White Supremacist Propaganda,St. Mary's City,MD,Right Wing (White Supremacist),Patriot Front,"Patriot Front, an alt right group, distributed propaganda that read: ""Not stolen conquered"" and ""Better dead than red."" ",https://www.adl.org/sites/default/files/2019-11/November%202019_PF%20Not%20stolen%20conquered%20sticker_sample.jpg
9110,10/30/2019,White Supremacist Propaganda,Parkville,MD,Right Wing (White Supremacist),Patriot Front,"Patriot Front, an alt right group, distributed propaganda that read: ""Reject poison,"" ""Life liberty victory,"" and ""To ourselves and our posterity.""",https://www.adl.org/sites/default/files/2019-11/November%202019_PF%20Reject%20poison_sample.jpg
9139,10/27/2019,White Supremacist Propaganda,Hughesville,MD,Right Wing (White Supremacist),Patriot Front,"Patriot Front, an alt right group, distributed propaganda that read: ""Life liberty victory,"" ""Revolution is tradition,"" ""Reject poison,"" and ""Better dead than red.""",https://www.adl.org/sites/default/files/2019-11/November%202019_PF%20Reject%20poison_sample.jpg
9141,10/27/2019,White Supremacist Propaganda,Jessup,MD,Right Wing (White Supremacist),Patriot Front,"Patriot Front, an alt right group, distributed propaganda that read: ""Revolution is tradition"" and ""One nation against invasion.""",
9148,10/25/2019,White Supremacist Propaganda,Bel Air,MD,Right Wing (White Supremacist),Patriot Front,"Patriot Front, an alt right group, distributed propaganda that read: ""One nation against invasion,"" ""To ourselves and our posterity,"" and ""Better dead than red.""",https://www.adl.org/sites/default/files/2019-11/November%202019_PF%20Better%20dead%20than%20red%20sticker_sample.jpg
9155,10/25/2019,White Supremacist Propaganda,Waldorf,MD,Right Wing (White Supremacist),Patriot Front,"Patriot Front, an alt right group, distributed propaganda that read: ""Reclaim America,"" ""Reject poison,"" and ""America is not for sale.""",https://www.adl.org/sites/default/files/2019-11/November%202019_PF%20reclaim%20america_sample.jpg
9211,10/22/2019,White Supremacist Propaganda,White Marsh,MD,Right Wing (White Supremacist),Patriot Front,"Patriot Front, an alt right group, distributed propaganda that read: ""America first,"" ""Life of our nation liberty of our people victory of the American spirit,"" ""Reclaim America,"" and ""Better dead than red.""",https://www.adl.org/sites/default/files/2019-11/November%202019_PF%20Life%20of%20our%20nation_sample.jpg
9244,10/19/2019,White Supremacist Propaganda,Bel Air,MD,Right Wing (White Supremacist),Patriot Front,"Patriot Front, an alt right group, distributed American flag-themed stickers with the QR code for Patriot Front and propaganda that read: ""America first"" and ""Reclaim America.""",https://www.adl.org/sites/default/files/2019-06/4.3.2019%20Patriot%20Front%20QR%20code_sample_0.jpg
9260,10/15/2019,White Supremacist Propaganda,Annapolis,MD,Right Wing (White Supremacist),Patriot Front,"Patriot Front, an alt right group, distributed propaganda that read: ""Better dead than red,"" ""America is not for sale,"" and ""Reject Poison.""",https://www.adl.org/sites/default/files/2019-11/November%202019_PF%20Reject%20poison_sample.jpg
9265,10/15/2019,White Supremacist Propaganda,Towson,MD,Right Wing (White Supremacist),Patriot Front,"Patriot Front, an alt right group, distributed propaganda that read: ""Life of our nation liberty of our people victory of the American spirit,"" ""America is not for sale,"" and ""Not stolen conquered.""",https://www.adl.org/sites/default/files/2019-11/November%202019_PF%20Not%20stolen%20conquered%20sticker_sample.jpg
